№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
69,98608440106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Бетюнский наслег,с,село,Уорай,98608440106,0,2,60.9027777777778,132.197777777778,,,,,,,,,,,,
70,98608446101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Болугурский наслег,с,село,Болугур,98608446101,1413,2,60.6025,131.473611111111,,,,,,,,,,,,
71,98608452101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Майский наслег,с,село,Покровка,98608452101,596,2,60.7586111111111,131.781388888889,,,,,,,,,,,,
72,98608452106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Майский наслег,с,село,Булун,98608452106,0,2,60.6861111111111,131.601111111111,,,,,,,,,,,,
73,98608455101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Мяндигинский наслег,с,село,Мяндиги,98608455101,407,2,61.1808333333333,132.551388888889,,,,,,,,,,,,
74,98608458101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Сатагайский наслег,с,село,Сатагай,98608458101,539,2,61.5658333333333,131.529722222222,,,,,,,,,,,,
75,98608460101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Соморсунский наслег,с,село,Михайловка,98608460101,827,2,61.2136111111111,132.681111111111,,,,,,,,,,,,
76,98608465101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Сулгачинский наслег,с,село,Сулгаччы,98608465101,464,2,61.5388888888889,132.901944444444,,,,,,,,,,,,
77,98608465106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Сулгачинский наслег,с,село,Серге-Бес,98608465106,259,2,61.4883333333333,132.891666666667,,,,,,,,,,,,
78,98608470101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Чакырский наслег,с,село,Чакыр 2-й,98608470101,487,2,60.8458333333333,131.838611111111,,,,,,,,,,,,
