№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
51,98604450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Тыарасинский наслег,с,село,Кыйы,98604450101,719,2,62.1161111111111,133.025833333333,,,,,,,,,,,,
52,98604455101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Уолбинский наслег,с,село,Уолба,98604455101,534,2,62.6325,133.593611111111,,,,,,,,,,,,
53,98604460101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Усть-Амгинский наслег,с,село,Чымнайи,98604460101,477,2,62.2466666666667,134.538055555556,,,,,,,,,,,,
54,98604465101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Хара-Алданский наслег,с,село,Хара-Алдан,98604465101,277,2,63.2608333333333,133.225277777778,,,,,,,,,,,,
55,98606151051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Аллаиховский муниципальный район,98606000,Городские поселения Аллаиховского муниципального района,поселок Чокурдах,п,поселок,Чокурдах,98606151051,1832,1,70.6194444444444,147.898333333333,,,,,,,,,,,,
56,98606424101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Аллаиховский муниципальный район,98606000,Сельские поселения Аллаиховского муниципального района,Береляхский наслег,с,село,Чкалов,98606424101,137,2,70.5327777777778,144.7025,,,,,,,,,,,,
57,98606437101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Аллаиховский муниципальный район,98606000,Сельские поселения Аллаиховского муниципального района,Быягнырский наслег,с,село,Нычалах,98606437101,115,2,69.9338888888889,146.209722222222,,,,,,,,,,,,
58,98606450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Аллаиховский муниципальный район,98606000,Сельские поселения Аллаиховского муниципального района,Русско-Устьинский наслег,с,село,Русское Устье,98606450101,118,2,71.1330555555556,149.278888888889,,,,,,,,,,,,
59,98606476101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Аллаиховский муниципальный район,98606000,Сельские поселения Аллаиховского муниципального района,Юкагирский национальный наслег,с,село,Оленегорск,98606476101,198,2,69.8113888888889,147.486388888889,,,,,,,,,,,,
60,98606476106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Аллаиховский муниципальный район,98606000,Сельские поселения Аллаиховского муниципального района,Юкагирский национальный наслег,с,село,Воронцово,98606476106,0,2,69.5758333333333,147.532777777778,,,,,,,,,,,,
61,98606745902,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Аллаиховский муниципальный район,98606000,Межселенные территории Аллаиховского муниципального района,Территория Ойотунгского национального (кочевого) наслега,с,село,Ойотунг,98606745902,0,2,70.6522222222222,148.682777777778,,,,,,,,,,,,
62,98608405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Абагинский наслег,с,село,Абага,98608405101,1114,2,61.0430555555556,132.283333333333,,,,,,,,,,,,
63,98608414101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Алтанский наслег,с,село,Алтанцы,98608414101,735,2,61.4702777777778,131.501944444444,,,,,,,,,,,,
64,98608429101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Амгино-Нахаринский наслег,с,село,Оннёс,98608429101,590,2,60.4613888888889,131.099444444444,,,,,,,,,,,,
65,98608429106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Амгино-Нахаринский наслег,с,село,Ефремово,98608429106,4,2,60.4797222222222,131.189722222222,,,,,,,,,,,,
66,98608429111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Амгино-Нахаринский наслег,с,село,Тегюльтя,98608429111,12,2,60.1586111111111,130.188611111111,,,,,,,,,,,,
67,98608432101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Амгинский наслег,с,село,Амга,98608432101,6667,2,60.8972222222222,131.980555555556,,,,,,,,,,,,
68,98608440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Амгинский муниципальный район,98608000,Сельские поселения Амгинского муниципального района,Бетюнский наслег,с,село,Бетюнцы,98608440101,1311,2,60.9272222222222,132.150277777778,,,,,,,,,,,,
