№,Гидрометеорологический пост,Наименование реки,Район,Населенный пункт,ОКТМО,Дата (дд.мм.ггг),в % от нормы,в % от нормы.1
1114,Шелагонцы,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2018-01-31,110-130,100.0
1115,Чумпурук,р.Вилюй,Нюрбинский муниципальный район,Малыкай,98626410101,2018-01-31,110-130,200.0
1116,Крестях,р.Вилюй,Сунтарский муниципальный район,Крестях,98648430101,2018-01-31,90-110,120.0
1117,Сунтар,р.Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2018-01-31,130-200,100.0
1118,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2018-01-31,110-130,165.0
1119,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2018-01-31,90-110,100.0
1120,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2018-01-31,130-200,165.0
1121,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2018-01-31,130-200,165.0
1122,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2018-01-31,90-110,120.0
1123,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-01-31,<70,165.0
1124,Саскылах,р.Анабар,Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылах,98610411101,2018-01-31,90-110,200.0
1125,Ярольин,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-01-31,110-130,165.0
1126,Оленек,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-01-31,90-110,200.0
1127,Сухана,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-01-31,90-110,200.0
1128,Тюмети,р.Оленек,Булунский муниципальный район,Склад,98612445106,2018-01-31,70-90,120.0
1129,Таймылыр,р.Оленек,Булунский муниципальный район,Таймылыр,98612445101,2018-01-31,,120.0
1130,Иэма,р.Яна,Томпонский муниципальный район,Тополиное,98650435101,2018-01-31,90-110,100.0
1131,Екючю,р.Яна,Верхоянский муниципальный район,Суордах,98616448101,2018-01-31,110-130,120.0
1132,Усть-Чаркы,р.Яна,Верхоянский муниципальный район,Усть-Чаркы,98616151111,2018-01-31,130-200,200.0
1133,Верхоянск,р.Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2018-01-31,110-130,120.0
1134,Батагай,р.Яна,Верхоянский муниципальный район,Батагай,98616151051,2018-01-31,110-130,100.0
1135,Батагай-Алыта,р.Яна,Эвено-Бытантайский национальный муниципальный район,Батагай-Алыта,98659420101,2018-01-31,130-200,80.0
1136,Юбилейная,р.Яна,Усть-Янский муниципальный район,Казачье,98656405101,2018-01-31,130-200,100.0
1137,Агаякан,р.Индигирка,Оймяконский муниципальный район,Агаякан,98639410106,2018-01-31,110-130,120.0
1138,Оймякон,р.Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2018-01-31,90-110,120.0
1139,Делянкир,р.Индигирка,Оймяконский муниципальный район,Делянкир,98639153106,2018-01-31,130-200,120.0
1140,Юрты,р.Индигирка,Оймяконский муниципальный район,Терют,98639432101,2018-01-31,90-110,120.0
1141,Усть-Нера,р.Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2018-01-31,110-130,100.0
1142,Усть-Мома,р.Индигирка,Момский муниципальный район,Хонуу,98633423101,2018-01-31,130-200,165.0
1143,Депутатский,р.Индигирка,Усть-Янский муниципальный район,Депутатский,98656151051,2018-01-31,90-110,80.0
1144,Белая Гора,р.Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2018-01-31,130-200,120.0
1145,Чокурдах,р.Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2018-01-31,>200,80.0
1146,Зырянка,р.Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2018-01-31,>200,100.0
1147,Среднеколымск,р.Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2018-01-31,130-200,100.0
1148,Черский,р.Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2018-01-31,,100.0
1149,Витим,р.Лена,Ленский муниципальный район,Витим,98627153051,2017-01-31,110-130,100.0
1150,Ленск,р.Лена,Ленский муниципальный район,Ленск,98627101001,2017-01-31,90-110,100.0
1151,Комака,р.Лена,Ленский муниципальный район,Орто-Нахара,98627433101,2017-01-31,90-110,165.0
1152,Дорожный,р.Лена,Ленский муниципальный район,Дорожный,98627420106,2017-01-31,110-130,120.0
1153,Нюя,р.Лена,Ленский муниципальный район,Нюя,98627430101,2017-01-31,130-200,100.0
1154,Мача,р.Лена,Олекминский муниципальный район,Мача,98641440101,2017-01-31,110-130,165.0
1155,Килеер,р.Лена,Олекминский муниципальный район,Килиер,98641434106,2017-01-31,130-200,165.0
