oktmo,region,municipality,settlement,type,Геоточка,latitude_dms,longitude_dms,latitude_dd,longitude_dd
98615405101,Республика Саха (Якутия),Верхнеколымский,Усун-Кюель,с,"[66.345,150.51]",66.20.42,150.30.36,66.345,150.51
98615430101,Республика Саха (Якутия),Верхнеколымский,Утая,с,"[66.0683333333333,148.210277777778]",66.04.06,148.12.37,66.0683333333333,148.210277777778
98616404106,Республика Саха (Якутия),Верхоянский,Алысардах,с,"[67.4519444444445,135.508333333333]",67.27.07,135.30.30,67.4519444444445,135.508333333333
98616409101,Республика Саха (Якутия),Верхоянский,Бала,с,"[67.1797222222222,132.832777777778]",67.10.47,132.49.58,67.1797222222222,132.832777777778
98616412101,Республика Саха (Якутия),Верхоянский,Барылас,с,"[65.8947222222222,132.756944444444]",65.53.41,132.45.25,65.8947222222222,132.756944444444
98616151051,Республика Саха (Якутия),Верхоянский,Батагай,пгт,"[67.6536111111111,134.631944444444]",67.39.13,134.37.55,67.6536111111111,134.631944444444
98616404101,Республика Саха (Якутия),Верхоянский,Бетенкес,с,"[67.65,135.575]",67.39.00,135.34.30,67.65,135.575
98616477101,Республика Саха (Якутия),Верхоянский,Боронук,с,"[67.5783333333333,133.449444444444]",67.34.42,133.26.58,67.5783333333333,133.449444444444
98616103001,Республика Саха (Якутия),Верхоянский,Верхоянск,г,"[67.55,133.383333333333]",67.33.00,133.23.00,67.55,133.383333333333
98616477106,Республика Саха (Якутия),Верхоянский,Мачах,с,"[67.5555555555556,132.889722222222]",67.33.20,132.53.23,67.5555555555556,132.889722222222
98616409106,Республика Саха (Якутия),Верхоянский,Метяки,с,"[66.9255555555556,132.269166666667]",66.55.32,132.16.09,66.9255555555556,132.269166666667
98616464106,Республика Саха (Якутия),Верхоянский,Осохтох,с,"[69.1305555555556,134.308333333333]",69.07.50,134.18.30,69.1305555555556,134.308333333333
98616464101,Республика Саха (Якутия),Верхоянский,Сайды,с,"[68.6972222222222,134.464722222222]",68.41.50,134.27.53,68.6972222222222,134.464722222222
98616151106,Республика Саха (Якутия),Верхоянский,Сентачан,с,"[66.4627777777778,136.934722222222]",66.27.46,136.56.05,66.4627777777778,136.934722222222
98616445101,Республика Саха (Якутия),Верхоянский,Столбы,с,"[67.5316666666667,134.088055555556]",67.31.54,134.05.17,67.5316666666667,134.088055555556
98616448101,Республика Саха (Якутия),Верхоянский,Суордах,с,"[66.6766666666667,131.772777777778]",66.40.36,131.46.22,66.6766666666667,131.772777777778
