№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
223,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель                           ","Распоряжением Администрации МО «Усть-Янский улус» №25-ОД от 23 мая 2012 года в целях ликвидации чрезвычайной ситуации, организации первоочередных работ по жизнеобеспечению, проведению АСР на территории МО «Усть-Янский национальный наслег» в Усть-Янском улусе введен режим ЧС. Распоряжением Президента РС (Я) на территории МО «Усть-Янский улус (район)» №1441 от 26 мая 2012 года введен режим ЧС Региональныйионального характера.",Региональный,,214,91.0,,2012-05-23,Усть-Янский муниципальный район,2012,Весеннее половодье
224,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","Объявлен режим ЧС от 11 июня 2012 г. №536-П муниципального характера в лесах, возникшей вследствие лесных пожаров на территории Усть-Майского района.",Муниципальный,,,,,2012-06-11,Усть-Майский муниципальный район,2012,Природные пожары
225,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах",Объявлен режим ЧС от 15 июня 2012 г. №14-14 для органов управления сил и средств функционирования РСЧС муниципального характера по ликвидации лесных пожаров на территории Вилюйского улуса.,Муниципальный,,,,,2012-06-15,Вилюйский муниципальный район,2012,Природные пожары
226,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","В связи с высоким классом пожарной опасности, сложной пожарной оперативной обстановкой Указом Президента №1497 с 18 июня объявлен режим чрезвычайной ситуации в лесах, возникших вследствие лесных пожаров на территории Амгинского, Алданского, Верхневилюйского, Вилюйского, Горного, Кобяйского, Ленского, Мегино-Кангаласского, Мирнинского, Намского, Нерюнгринского, Нюрбинского, Олекминского, Сунтарского, Таттинского, Чурапчинского района, и городского округа «город Якутск» Республики Саха (Якутия).",Региональный,,,,,2012-06-18,Амгинский муниципальный район,2012,Природные пожары
227,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах",Решением КЧС и ПБ объявлен режим ЧС от 3 июля 2012 г. №14-15 для органов управления сил и средств территориальной подсистемы РСЧС Вилюйского улуса по ликвидации лесных пожаров. ,Муниципальный,,,,,2012-07-03,Вилюйский муниципальный район,2012,Природные пожары
228,"1.1.5. - 1.1.6. Авиационные и ракетно-космические  катастрофы и аварии в аэропортах, на стартовых площадках и в населенных пунк¬тах и вне аэропортов, стартовых площадок и населенных пунктов","В 23.10 (хбр) 04.07.2012 года от дежурного ПДСУ «г. Якутска» Набока Е.И. поступила информация о том, что не вышел на связь вертолет АС 350 Франция, б/н №04097, принадлежащий АК «Ют-Эйр» г. Сургут, КВС Гордичук Василий Дмитриевич, выполняющий рейс №9169 с 19.00 (хбр) г. Ленск – Талаканское месторождение по трубопроводу ВСТО.  На борту предположительно находилось 4 человека (2 члена экипажа, 2 пассажира).
В 23.28 (хбр) от диспетчера ПДСУ г. Ленск Чубенко Анны Анатольевны поступила информация о том, что вертолет АС 350 обнаружен, находится в 4 км, западнее от взлетно-посадочной полосы г. Ленска, вертолет лежит обгоревший в труднодоступном месте. Обнаруживший вертолет посадку произвести не смог. Для спуска по веревочной лестнице к месту падения вертолета готовится поисковая группа.
В 00.53 (хбр) спасатели совершили спуск к месту крушения. Обнаружено 3 тела погибших.
",Локальный,4,,,,2012-07-04,Ленский муниципальный район,2012,Авиационные инциденты
229,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","04.07.2012г. Комиссией КЧС Таттинского района во главе председателя КЧС, Главой Таттинского района Протодьяконовым М.А. принято Решение №4 «О введении режима ЧС муниципального характера, возникшего вследствие лесных пожаров для сил и средств Таттинского звена РСЧС».",Муниципальный,,,,,2012-07-04,Томпонский муниципальный район,2012,Природные пожары
230,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","Постановление № 51 от 07.07.2012г «О введении режима ЧС местного характера в лесах, возникающий в следствии лесных пожаров на территории МО «Село Усть-Миль» в связи с высоким классом пожарной опасности леса».",Муниципальный,,,,,2012-07-07,Усть-Майский муниципальный район,2012,Природные пожары
231,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","08.07.2012г. Комиссией КЧС Томпонского района во главе 1 заместителя Томпонского района Шарковой Т.Ф принято Решение №15  «О введении режима ЧС локального  характера, возникшего вследствие лесных пожаров вблизи населенного пункта Охотский перевоз для сил и средств Томпонского звена РСЧС». ",Муниципальный,,,,,2012-07-08,Томпонский муниципальный район,2012,Природные пожары
232,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","В связи с высоким классом пожарной опасности, сложной пожарной обстановкой на территории Усть-Алданского района Решением КЧС №10 объявлен режим ЧС с 14.07.2012.",Муниципальный,,,,,2012-07-14,Усть-Алданский муниципальный район,2012,Природные пожары
233,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","Постановлением Администрации Усть-Майского района №700-П объявлен с 27 июля 2012 года режим ЧС муниципального характера в лесах, возникшей вследствие лесных пожаров на территории Усть-Майского района.",Муниципальный,,,,,2012-07-27,Усть-Майский муниципальный район,2012,Природные пожары
234,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах","Распоряжением Администрации МО «Баппагайинский наслег» Вилюйского района №56 в связи с возникновением лесного пожара в местности «Тысагастаах», находящегося на расстоянии в 5 км от села Илбенге, объявлен режим чрезвычайной ситуации с 28 июля 2012 на территории МО «Баппагайинский наслег» Вилюйского района.",Муниципальный,,,,,2012-07-28,Вилюйский муниципальный район,2012,Природные пожары
235,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах  2.5.1. Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель","Постановлением Администрации МО «Намский район» №1420-р от 31 июля 2012 года введен режим ЧС межмуниципального характера в связи с высоким классом пожарной опасности, сложной пожарной оперативной обстановкой, и утратой заготовленных грубых кормов с/х животных во время подтопления сельскохозяйственных угодий.",Межмуниципальный,,,,,2012-07-31,Намский муниципальный район,2012,Природные пожары
